"sex","centile_n","centile_weight","par0","par1"
"female",0,"c0",0.081,4.2
"male",0,"c0",0.078,4.5
"female",1,"c1",0.06,4.2
"male",1,"c1",0.06,4.8
"female",2,"c2",0.051,4.2
"male",2,"c2",0.051,4.5
"female",3,"c3",0.048,4.2
"male",3,"c3",0.048,4.8
"female",4,"c4",0.042,3.9
"male",4,"c4",0.042,4.5
"female",5,"c5",0.039,3.9
"male",5,"c5",0.042,5.1
"female",6,"c6",0.039,4.2
"male",6,"c6",0.039,4.8
"female",7,"c7",0.036,4.2
"male",7,"c7",0.036,4.8
"female",8,"c8",0.033,3.9
"male",8,"c8",0.036,5.1
"female",9,"c9",0.033,4.2
"male",9,"c9",0.033,4.8
"female",10,"c10",0.03,3.9
"male",10,"c10",0.033,5.1
"female",11,"c11",0.03,4.2
"male",11,"c11",0.03,4.8
"female",12,"c12",0.027,3.9
"male",12,"c12",0.03,5.1
"female",13,"c13",0.027,4.2
"male",13,"c13",0.03,5.7
"female",14,"c14",0.027,4.2
"male",14,"c14",0.027,5.1
"female",15,"c15",0.024,3.9
"male",15,"c15",0.027,5.4
"female",16,"c16",0.024,4.2
"male",16,"c16",0.024,4.8
"female",17,"c17",0.021,3.6
"male",17,"c17",0.024,5.1
"female",18,"c18",0.021,3.9
"male",18,"c18",0.024,5.7
"female",19,"c19",0.021,4.2
"male",19,"c19",0.024,6.3
"female",20,"c20",0.018,3.6
"male",20,"c20",0.021,5.1
"female",21,"c21",0.018,3.9
"male",21,"c21",0.021,5.7
"female",22,"c22",0.018,3.9
"male",22,"c22",0.021,6.3
"female",23,"c23",0.018,4.2
"male",23,"c23",0.021,7.2
"female",24,"c24",0.015,3.6
"male",24,"c24",0.018,5.4
"female",25,"c25",0.015,3.6
"male",25,"c25",0.018,6
"female",26,"c26",0.015,3.9
"male",26,"c26",0.018,6.9
"female",27,"c27",0.015,4.2
"male",27,"c27",0.018,8.1
"female",28,"c28",0.012,3.6
"male",28,"c28",0.018,9.6
"female",29,"c29",0.012,3.6
"male",29,"c29",0.015,6.6
"female",30,"c30",0.012,3.9
"male",30,"c30",0.015,7.5
