"sex","age","delta","g","adj_formula_fed","intake_ref","act","intake_act"
"female",0,10.0161165818557,11.8506586122499,1.22468812774089,793.687523824106,0.99,785.750648585865
"female",1,10.0156726156666,10.6383336354529,1.22322005462243,797.369641676808,0.99,789.39594526004
"female",2,10.0152286494775,9.42600865865585,1.22175198150396,801.05175952951,0.99,793.041241934215
"female",3,10.0147846832884,8.2136836818588,1.22028390838549,804.733877382212,0.99,796.68653860839
"female",4,10.0143407170993,7.00135870506175,1.21881583526702,808.415995234914,0.99,800.331835282565
"female",5,10.0138967509102,5.78903372826471,1.21734776214856,812.098113087616,0.99,803.97713195674
"female",6,10.0134527847211,4.57670875146767,1.21587968903009,815.780230940318,0.99,807.622428630915
"female",7,10.013008818532,3.36438377467063,1.21441161591162,819.46234879302,0.99,811.26772530509
"female",8,10.0125648523429,2.15205879787358,1.21294354279315,823.144466645722,0.99,814.913021979265
"female",9,10.0121208861538,0.939733821076537,1.21147546967469,826.826584498424,0.99,818.55831865344
"female",10,10.0116769199647,-0.272591155720505,1.21000739655622,830.508702351126,0.99,822.203615327615
"female",11,10.0112329537756,-1.48491613251755,1.20853932343775,834.190820203828,0.99,825.84891200179
"female",12,10.0107889875865,-2.69724110931459,1.20707125031928,837.872938056531,0.99,829.494208675965
"female",13,10.0103450213974,-3.90956608611164,1.20560317720082,841.555055909233,0.99,833.13950535014
"female",14,10.0099010552083,-5.12189106290868,1.20413510408235,845.237173761935,0.99,836.784802024315
"female",15,10.0094570890192,-6.33421603970572,1.20266703096388,848.919291614637,0.99,840.43009869849
"female",16,10.00901312283,-7.54654101650277,1.20119895784541,852.601409467339,0.99,844.075395372665
"female",17,10.0085691566409,-8.75886599329981,1.19973088472695,856.283527320041,0.99,847.72069204684
"female",18,10.0081251904518,-9.97119097009686,1.19826281160848,859.965645172743,0.99,851.365988721015
"female",19,10.0076812242627,-11.1835159468939,1.19679473849001,863.647763025445,0.99,855.01128539519
"female",20,10.0072372580736,-12.3958409236909,1.19532666537155,867.329880878147,0.99,858.656582069366
"female",21,10.0067932918845,-13.608165900488,1.19385859225308,871.011998730849,0.99,862.301878743541
"female",22,10.0063493256954,-14.820490877285,1.19239051913461,874.694116583551,0.99,865.947175417716
"female",23,10.0059053595063,-16.0328158540821,1.19092244601614,878.376234436253,0.99,869.592472091891
"female",24,10.0054613933172,-17.2451408308791,1.18945437289768,882.058352288955,0.99,873.237768766066
"female",25,10.0050174271281,-18.4574658076762,1.18798629977921,885.740470141657,0.99,876.883065440241
"female",26,10.004573460939,-19.6697907844732,1.18651822666074,889.422587994359,0.99,880.528362114416
"female",27,10.0041294947499,-20.8821157612702,1.18505015354227,893.104705847061,0.99,884.173658788591
"female",28,10.0036855285608,-22.0944407380673,1.18358208042381,896.786823699764,0.99,887.818955462766
"female",29,10.0032415623717,-23.3067657148643,1.18211400730534,900.468941552466,0.99,891.464252136941
"female",30,10.0027975961826,-24.5190906916614,1.18064593418687,904.151059405168,0.99,895.109548811116
"female",31,10.0023536255344,-25.7313740597911,1.17917788191296,907.833088363599,0.99,898.754757479963
"female",32,10.0019095369216,-26.9426026875778,1.17771035637767,911.512951291211,0.99,902.397821778299
"female",33,10.0014651074188,-28.1508061975379,1.17624434073483,915.18664702437,0.99,906.034780554126
"female",34,10.0010201095123,-29.3539750582921,1.17478083762173,918.850097698966,0.99,909.661596721977
"female",35,10.0005743156883,-30.5500997384611,1.17332084967567,922.499225450891,0.99,913.274233196382
"female",36,10.0001274984331,-31.7371707066655,1.17186537953391,926.129952416035,0.99,916.868652891874
"female",37,9.99967943023299,-32.913178431526,1.17041542983375,929.738200730288,0.99,920.440818722985
"female",38,9.99922988357424,-34.0761133816633,1.16897200321247,933.319892529542,0.99,923.986693604246
"female",39,9.99877863094314,-35.223966025698,1.16753610230736,936.870949949686,0.99,927.502240450189
"female",40,9.99832544482595,-36.3547268322508,1.16610872975571,940.387295126613,0.99,930.983422175347
"female",41,9.99787009770896,-37.4663862699424,1.16469088819478,943.864850196212,0.99,934.426201694249
"female",42,9.99741236207843,-38.5569348073934,1.16328358026188,947.299537294374,0.99,937.82654192143
"female",43,9.99695201042066,-39.6243629132244,1.16188780859429,950.68727855699,0.99,941.18040577142
"female",44,9.9964888152219,-40.6666610560563,1.16050457582929,954.02399611995,0.99,944.48375615875
"female",45,9.99602254896844,-41.6818197045096,1.15913488460416,957.305612119146,0.99,947.732555997954
"female",46,9.99555298414656,-42.667829327205,1.1577797375562,960.528048690467,0.99,950.922768203562
"female",47,9.99507989324253,-43.6226803927631,1.15644013732268,963.687227969805,0.99,954.050355690107
"female",48,9.99460304874263,-44.5443633698047,1.15511708654089,966.77907209305,0.99,957.11128137212
"female",49,9.99412222313312,-45.4308687269504,1.15381158784811,969.799503196093,0.99,960.101508164132
"female",50,9.9936371889003,-46.2801869328209,1.15252464388164,972.744443414825,0.99,963.016998980677
"female",51,9.99314771853044,-47.0903084560368,1.15125725727875,975.609814885136,0.99,965.853716736285
"female",52,9.99265358450981,-47.8592237652188,1.15001043067674,978.391539742917,0.99,968.607624345488
"female",53,9.99215455932469,-48.5849233289875,1.14878516671287,981.085540124059,0.99,971.274684722819
"female",54,9.99165041546135,-49.2653976159637,1.14758246802445,983.687738164453,0.99,973.850860782808
"female",55,9.99114092540608,-49.898637094768,1.14640333724875,986.194055999988,0.99,976.332115439988
"female",56,9.99062586164515,-50.4826322340211,1.14524877702306,988.600415766556,0.99,978.71441160889
"female",57,9.99010499666483,-51.0153735023436,1.14411978998467,990.902739600048,0.99,980.993712204047
